txn_date,product_code,product_group,units_sold,line_revenue,line_cost
2026-03-25,KIT-CANDLE-01,Candle Kits,1,899,317.09
2026-03-25,KIT-JEWELRY-01,Jewelry Kits,1,599,175.11
2026-03-25,KIT-CANDLE-01,Candle Kits,1,899,321.38
2026-03-26,KIT-MACRAME-02,Macrame Kits,1,999,329.62
2026-03-26,KIT-SOAP-01,Soap Kits,1,649,196.72
2026-03-26,KIT-CANDLE-01,Candle Kits,2,1798,671.62
2026-03-26,KIT-JEWELRY-01,Jewelry Kits,1,599,170.16
2026-03-27,KIT-CANDLE-01,Candle Kits,1,899,303.16
2026-03-28,KIT-POTTERY-02,Pottery Kits,1,2099,1045.44
2026-03-28,KIT-JEWELRY-01,Jewelry Kits,1,599,165.62
2026-03-28,KIT-CANDLE-01,Candle Kits,1,899,302.53
2026-03-29,KIT-MACRAME-02,Macrame Kits,2,1998,595.0
2026-03-30,KIT-SOAP-01,Soap Kits,1,649,222.91
2026-03-31,KIT-JEWELRY-01,Jewelry Kits,1,599,167.4
2026-03-31,KIT-MACRAME-01,Macrame Kits,2,1498,479.54
2026-03-31,KIT-MACRAME-01,Macrame Kits,1,749,238.58
